Review ID,Country,User Name,User URL,App Version,Rating,Review Title,Review Text,Review URL,Review Date,Developer Reply Date,Developer Reply Text,Helpful Votes
12427622994,US,criticalGuest,https://itunes.apple.com/us/reviews/id30952797,3.7.7,5,"Kevin, you changed my life","Thank you Kevin for turning me o to SettleUp!  I used to be a shut in, afraid to accept invitations to go out with friends… the stress of putting down multiple credit cards , or the annoyance of getting a friend’s pocket change to pay “their share”.  I’m social again thanks to you Kevin… and SettleUp!",https://itunes.apple.com/us/review?id=737534985&type=Purple%20Software,,,,
12311487166,US,iamwirking2,https://itunes.apple.com/us/reviews/id22190625,3.7.5,5,Top tier splitting app,"This is absolutely one of the best if not the best splitting app available. 

First- the most common activity on this kind of app is adding an expense on the go, so you want it to be quick and painless. Settle up by far has the fastest expense adding framework, because you can start by tapping the name of the person who paid. Seems like a small thing, but it makes a big difference in the field. 

Second- exporting transactions is not behind a paywall. 

Third- unlimited transactions not behind paywall. 

Fourth- default shares for groups and an advanced expense adding experience for things like meals where tax and tip might be separate from the item subtotal. This includes a calculator in the subtotal area as well. 

Overall- the app looks a little dated. But who cares. All the basic functionality is there, it’s the fastest to add an expense, and only appropriate functionality is behind the paywall (like categories, receipt storage, and recurring transactions).",https://itunes.apple.com/us/review?id=737534985&type=Purple%20Software,,,,
12199929879,US,X/bi,https://itunes.apple.com/us/reviews/id108863245,3.7.4,2,Ui/UX issues and sometimes things don’t work with no reason given,"Looks like classic ‘engineer UI’. Pure chaos. Took forever to add people, no error messages given for why scanning code or accepting invites didn’t work just noticed happened. Once setup and ignoring UI issues it appeared to work but way too much effort for the category.",https://itunes.apple.com/us/review?id=737534985&type=Purple%20Software,,,,
12154528319,US,FilMatt64,https://itunes.apple.com/us/reviews/id378869220,3.7.4,5,Great for coop houses,"We have tried many other expense spitting tools, and this is by far the best for group houses!

- Categorizes for transactions
- Receipt uploads
- Allows for income splitting 
- Group Pro plan available",https://itunes.apple.com/us/review?id=737534985&type=Purple%20Software,,,,
11923057328,US,AGateK255,https://itunes.apple.com/us/reviews/id26154925,3.7.3,3,So so,"The user interface could use improvement to make it easy to navigate. For example it take multiple clicks and it’s also not intuitive how to “settle up”. The add are also way to invasive. Lastly it’s way too expensive for what it’s offering. 

On the plus side the development team is very responsive. I contacted them with an issue and they were very helpful and quick.",https://itunes.apple.com/us/review?id=737534985&type=Purple%20Software,,,,
11857631188,US,Reviews By Some Guy,https://itunes.apple.com/us/reviews/id111198490,3.7.1,2,Free version not worth trying,"I tried the free version of this app on a trip with three other people, and the app doesn’t even give you individualized debts.

I ended up having to take all the expenses out of the app and put them in a spreadsheet to figure out who really owed whom.",https://itunes.apple.com/us/review?id=737534985&type=Purple%20Software,,,,
11735402097,US,April GM,https://itunes.apple.com/us/reviews/id276807238,3.7.1,5,Takes all the stress out of group outings,"This app was a game changer on a recent group trip. It allowed us to relax and just live our best lives while not having to worry about whether we were kicking in too much or not enough, or having to do any kind of math with vacation brains. Can't recommend it enough.",https://itunes.apple.com/us/review?id=737534985&type=Purple%20Software,,,,
11373512253,US,ataylor47,https://itunes.apple.com/us/reviews/id116001331,3.6,2,Just Suddenly Stopped Working,"Worked great until it didn’t. With the free version, I was able to add and settle debts, just had to watch a few ads. 

Suddenly, I go to add some debts and it is giving me only a net summary of ALL debts, including those already settled. So it is now essentially useless bc there’s no way to tell what we actually have paid each other. 

Bummer bc I liked this a lot for settling roommate bills.",https://itunes.apple.com/us/review?id=737534985&type=Purple%20Software,,,,
11009163064,US,Ivolvo,https://itunes.apple.com/us/reviews/id42367123,3.5.1,4,"Great app, very intuitive and well thought through. But","This is the best app for splitting expenses I found. It has a very slick interface, all required details are easily available and accessible. 

I wish it had 3 relatively small features that I proposed to the authors that could be implemented (had no negative or positive response from the authors so far).

Ability to assign a fixed amount to a person(s) and exclude them from further sharing. Use case: a participant bought something completely different and their prices are fixed regarding the rest of the spending
Ability to assign adjustments for sharing. Use case: in a restaurant, the entire bill is split evenly but one person ordered an expensive drink for himself and wants to exclude this amount from sharing, or a person didn’t order an expensive dessert and its share should be reduced by this amount
Ability to create a paying group which is very natural in multi-family events (especially with children who could be accounted for differently). All calculations are as is but in the end, group spending and debts are combined. It makes regular accounting simple. No multipliers, all other accounting as described in 1) and 2) are still applicable on the individual level but the final settlement is natural
The nice thing is that all these features could be introduced in a way that the old interface would work the same way without additional complexity for those who are not interested yet accommodating more complex use cases. 

I hope developers would listen to this proposals, it doesn’t look too complex and should not change the existing API too much",https://itunes.apple.com/us/review?id=737534985&type=Purple%20Software,,,,
10982727383,US,sohammehta,https://itunes.apple.com/us/reviews/id487029684,3.4,5,Came here from splitwise,Perfect alternative! Would love to have a friend view along with the group view as i have same friends across a lot of groups,https://itunes.apple.com/us/review?id=737534985&type=Purple%20Software,,,,
